# generated_at: 2026-05-15T12:15:02Z, dataset_version: v202605151210, source: internetinmyanmar.com/data
asn,isp_name,started_at,ended_at,duration_minutes,min_visibility_pct,resolved
AS135433,CGCL-AS-AP Connect Gateway Company Limited,2026-04-07T06:02:15Z,2026-04-07T06:32:12Z,29,0.0,True
AS137259,ILINK-AS-AP i-Link,2026-04-07T06:31:20Z,2026-04-07T07:01:14Z,29,0.0,True
AS18399,YTCL-AS-AP Yatanarpon Teleport Company Limited,2026-04-07T07:03:10Z,2026-04-07T07:32:52Z,29,0.0,True
AS149487,MCLOCCL-AS-AP MOC COMPANY LIMITED,2026-04-07T07:03:27Z,2026-04-07T07:32:54Z,29,0.0,True
AS132686,ACS-AS-AP Amara Communications,2026-04-07T08:01:29Z,2026-04-07T08:31:18Z,29,0.0,True
AS135371,FORTUNEINTERNATIONAL-AS-AP Fortune Broadband,2026-04-07T08:02:00Z,2026-04-07T08:31:35Z,29,0.0,True
AS139206,PAMEL-AS-AP Pan Asia Majestic Eagle Ltd,2026-04-07T08:03:09Z,2026-04-07T08:32:32Z,29,0.0,True
AS134840,MCCL-AS-AP Myanmar Country Co.,2026-04-07T09:32:09Z,2026-04-07T10:01:25Z,29,0.0,True
AS135427,MYANMARNETWORK-AS-AP Myanmar Network Company Limited,2026-04-07T09:32:36Z,2026-04-07T10:01:37Z,29,0.0,True
AS136975,GNET-AS-AP Global Technology,2026-04-07T09:33:13Z,2026-04-07T10:01:45Z,28,0.0,True
AS136474,MGTL-AS-AP Marga Global Telecom Limited,2026-04-07T09:33:38Z,2026-04-07T10:01:48Z,28,0.0,True
AS149810,ACL-AS-AP AnyNet,2026-04-07T09:33:55Z,2026-04-07T10:01:55Z,27,0.0,True
AS153790,AMCL-AS-AP ADS Myanmar Company Limited,2026-04-07T12:01:57Z,2026-04-07T12:31:52Z,29,0.0,True
AS134105,STLMC-AS-AP Shwe Than Lwin Media Co.,2026-04-07T12:03:21Z,2026-04-07T12:32:51Z,29,0.0,True
AS150692,GD2CL-AS-AP Golden Dragon 2000,2026-04-07T13:01:50Z,2026-04-07T13:31:25Z,29,0.0,True
AS151802,FSAS-AS-MM FIND SOLUTION AND SERVICES CO.,2026-04-07T13:02:17Z,2026-04-07T13:31:38Z,29,0.0,True
AS135111,AML-AS-AP Asia Mega Link,2026-04-07T13:32:38Z,2026-04-07T14:03:53Z,31,0.0,True
AS150692,GD2CL-AS-AP Golden Dragon 2000,2026-04-07T14:01:35Z,2026-04-07T14:32:02Z,30,0.0,True
AS136975,GNET-AS-AP Global Technology,2026-04-07T14:02:15Z,2026-04-07T14:32:25Z,30,0.0,True
AS136465,INFORMATIONTECHNOLOGYCYBERSECURITY-AS-AP Dept. of Information Technology & Cyber Security,2026-04-07T14:02:30Z,2026-04-07T14:32:26Z,29,0.0,True
AS141704,GALAXIANET-AS-AP Galaxia @ Net,2026-04-07T14:03:20Z,2026-04-07T14:32:46Z,29,0.0,True
AS153549,MTC-AS-AP MUI Technology Company Limited,2026-04-07T14:04:09Z,2026-04-07T14:33:05Z,28,0.0,True
AS136255,TIMCL-AS-AP Telecom International Myanmar Co.,2026-04-07T14:31:48Z,2026-04-07T15:01:10Z,29,0.0,True
AS133385,ATOMMYANMAR-AS-AP Atom Myanmar Limited,2026-04-07T15:01:56Z,2026-04-07T15:32:09Z,30,0.0,True
AS134484,VDCNET-AS-AP Ultra Net,2026-04-07T15:02:27Z,2026-04-07T15:32:29Z,30,0.0,True
AS151965,HATG-AS-AP Hepta Alliance Technology Group,2026-04-07T15:02:43Z,2026-04-07T15:32:52Z,30,0.0,True
AS63998,KMTCL-MM Kinetic Myanmar Technology,2026-04-07T15:03:19Z,2026-04-07T15:33:18Z,29,0.0,True
AS150797,GCL-AS-AP GIGA-NET,2026-04-07T17:32:07Z,2026-04-07T18:02:08Z,30,0.0,True
